7zip	25.01+dfsg-1~deb13u1
adduser	3.152
alsa-topology-conf	1.2.5.1-3
alsa-ucm-conf	1.2.14-1
apache2	2.4.65-2
apache2-bin	2.4.65-2
apache2-data	2.4.65-2
apache2-utils	2.4.65-2
apparmor	4.1.0-1
appstream	1.0.5-1
apt	3.0.3
apt-listchanges	4.8
apt-transport-https	3.0.3
apt-utils	3.0.3
augeas-lenses	1.14.1-1
base-files	13.8+deb13u2
base-passwd	3.6.7
bash	5.2.37-2+b5
bash-completion	1:2.16.0-7
bc	1.07.1-4
bind9-dnsutils	1:9.20.15-1~deb13u1
bind9-host	1:9.20.15-1~deb13u1
bind9-libs:amd64	1:9.20.15-1~deb13u1
binutils	2.44-3
binutils-common:amd64	2.44-3
binutils-mingw-w64-i686	2.44-3+12+b1
binutils-mingw-w64-x86-64	2.44-3+12+b1
binutils-x86-64-linux-gnu	2.44-3
bpfcc-tools	0.31.0+ds-7
bsd-mailx	8.1.2-0.20220412cvs-1.1
bsdextrautils	2.41-5
bsdutils	1:2.41-5
build-essential	12.12
busybox	1:1.37.0-6+b3
bzip2	1.0.8-6
bzip2-doc	1.0.8-6
ca-certificates	20250419
cargo	1.85.0+dfsg3-1
certbot	4.0.0-2
chrony	4.6.1-3
clang	1:19.0-63
clang-14	1:14.0.6-12
clang-19	1:19.1.7-3+b1
clang-tools-19	1:19.1.7-3+b1
cloud-guest-utils	0.33-1
cloud-init	22.4.2-1+deb12u3akamai1
cmake	3.31.6-2
cmake-data	3.31.6-2
console-setup	1.242~deb13u1
console-setup-linux	1.242~deb13u1
coreutils	9.7-3
cpio	2.15+dfsg-2
cpp	4:14.2.0-1
cpp-12	12.4.0-5
cpp-14	14.2.0-19
cpp-14-x86-64-linux-gnu	14.2.0-19
cpp-x86-64-linux-gnu	4:14.2.0-1
cron	3.0pl1-197
cron-daemon-common	3.0pl1-197
curl	8.14.1-2+deb13u2
dash	0.5.12-12
dbus	1.16.2-2
dbus-bin	1.16.2-2
dbus-daemon	1.16.2-2
dbus-session-bus-common	1.16.2-2
dbus-system-bus-common	1.16.2-2
dbus-user-session	1.16.2-2
debconf	1.5.91
debconf-i18n	1.5.91
debian-archive-keyring	2025.1
debianutils	5.23.2
default-libmysqlclient-dev:amd64	1.1.1
